sentence	label
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
To understand these novel processes , 3a-hydroxyisoxazolo- [3,2-a]isoindol-8(3aH)-one derivative 3 and (E)-3-methylene- isoindolin-1-one 4a were treated under diﬀerent conditions ( Scheme 2 ). We found that compound 3a could be eﬀectively transformed to (E)-3-methyleneisoindolin-1-one 4a in the presence of a catalytic amount of both K2CO3 and Bu3P at 60 ° C , while it was fully transformed to (Z)-3-methylene- isoindolin-1-one 5a at 150 ° C in the presence of Bu3P or at 100 ° C in the presence of K2CO3. We also found that (E)-3- methyleneisoindolin-1-one 4a could be eﬀectively transformed to (Z)-3-methyleneisoindolin-1-one 5a in the presence of a catalytic amount of both K2CO3 and Bu3P at a higher temperature , which shows a novel example that the (E)- conﬁguration of the carbon − carbon double bond could be transformed to the (Z)-conﬁguration of the carbon − carbon double bond. It is worth mentioning here that compound 3a could also be transformed to (E)-3-methyleneisoindolin-1-one 4a and (Z)-3-methyleneisoindolin-1-one 5a in the absence of catalyst , and compound 4a could also be transformed to its isomer 5a. There is an obvious intramolecular hydrogen bonding of the N − H group of 5a in its crystal structure , and this could be the cause of the Z-stereoselectivity under higher temperature.13	0
An extension of the amide protocol also showed promising results , ( Table 4 ). Carboxylic acids functionalized with cyclohexane , phenyl , and 4-CF3-phenyl were chosen to represent alkyl , aryl , and electron - withdrawing functionalities. These were matched with n-butylamine , piperidine , and aniline	0
ABSTRACT : Naphthalene - bridged bis-triazole ( NBT ) com- plexes were prepared and characterized for investigation of their photophysical properties. Unlike our previously reported N-2-aryl triazoles , which gave strong emissions through the planar intramolecular charge transfer mechanism ( coplanar conformation ) , this newly developed NBT adopted a non- coplanar conformation between triazole and naphthalene , achieving ﬂuorescence through twisted intramolecular charge transfer .	0
In some cases , the HRMS analysis of the reaction mixture revealed the formation of desired porphyrinogen intermediates ( 7e − h ) , which disappeared without providing corresponding porphodimethene products upon oxidation with DDQ or p- chloranil. To understand the detailed mechanism of reaction , the intermediate porphyrinogens ( 7e − h ) were isolated and characterized. These porphyrinogens ( 7e − h ) were further oxidized under neutral conditions. Porphodimethenes ( 5e − h ) were obtained by condensation of 1 equiv of tripyrranes ( 4a and 4b ) with 1 equiv of the corresponding diol ( 3e − h ) in the presence of BF3-methanol using dichloromethane as a solvent ( 3.2 mM ) at 0 ° C for 1 h , and then the reaction mixture was stirred at room temperature for 45 min ( method B ). The crude porphyrinogens were puriﬁed by silica gel column chromatog- raphy to aﬀord white solids in 10 − 14 % yield. The methyl- substituted porphyrinogens ( 7e and 7f ) were oxidized with chloranil , and meso-unsubstituted porphyrinogens ( 7g and 7h ) were oxidized with 0.1 % aqueous FeCl3 in CHCl3 at room temperature to obtain 16π-conjugated systems 5e in 6 % , 5f in 7 % , 5g in 5 % , and 5h in 4 % yields ( Scheme 2 ). Scheme 2. Synthesis of Porphyrinogens ( 7e − h ) and 5,10- Porphodimethenes ( 5e − h )	0
